#audiozoom_25.txt use for camera ZOOM recording.

#MIN   MAX       EFFECTLEVEL      VF    AngleWidth     Gain0~~~Gain7
0       1.099      	 0                 0       180             	    0  0  0   0   0  0  0 0
1.1     1.499      	10                0       120             	    1  1  1   1   1  0  0 0
1.5     1.899      	10                0       120           	    2  2  2   2   2  1  0 0
2.0     2.499      	20                0       120            	    2  2  2   2   2  1  0 0
2.5     2.999      	30                0       120            	    3  3  3   3   3  2  2 1
3.0     3.499      	40                0       90              	    3  3  3   3   3  2  2 1
3.5     4.599      	50                0       90             	    3  3  3   3   3  2  2 1
4.6     5.299      	60                0       70             	    4  4  4   4   4  4  4 3
5.3     5.999      	70                0       70            	    4  4  4   4   4  4  4 3
6.0     6.999      	80                0       50            	    5  5  5   5   5  5  4 4
7.0     7.999      	90                0       50             	    5  5  5   5   5  5  4 4
8.0     9.999     	100              0       30             	    6  6  6   6   6  6  6 5
10.0     1000      	100              0       30             	    6  6  6   6   6  6  6 5
